,label,review
10506,0,居然里面还有油炸蟑螂！！！请问怎么投诉！！是打消费者热线吗！！！
8,1,非常好吃，而且速度特别快
1683,1,快递师傅特别好，大冷天真不容易
3161,1,很好吃，但是送餐有点儿慢
2560,1,"口味不错哦,还优惠很多"
644,1,送的非常快，量足，吃的很饱，灰常不错！
8725,0,送的这么慢还请假啥。
3784,0,一直没送到，打电话问说可能单子丢了！！重新做了送来的
2768,1,外送小哥态度很好，很辛苦。
8090,0,太慢了，等了快一个班小时，也不能打电话，投诉也不接。催单催到最后都不给催了，水也没给我。什么玩意。钱也不退。以后再也不订了
4198,0,"菜品不错,就是速度较慢,等了超过一个小时"
6975,0,"猪蹄每次大小不一致而且太肥过于油腻,配菜应该是海带丝,所以整体一般希望改进"
9578,0,"我就在悠唐星巴克上班，今天只是小伙伴们订餐。你说给的菜量那么少收费还那么贵你让我怎么找小伙伴们要饭钱？非常准时但是星巴克那么大的标志都没看见,说不太过去呀"
3406,1,送餐还是很快的，师傅特别客气，非常好
4915,0,不太好吃！
3069,1,非常快，送餐师傅辛苦了，很好！
8512,0,"很一般,送到家凉了"
8010,0,披萨不是太好吃
6489,0,"等了将近两小时才送到,都凉了,也不好吃"
7126,0,外卖版的没啥菜，只有一点点豆芽泡菜和西葫芦
6466,0,太咸了，辣椒里面不知道有什么东西，吃了好几次都像石子的东西。
6623,0,"没按规定时间送。,送餐员的手超级脏。"
9422,0,经常买你家的饭，但是这次饭不是现做的，青椒是隔夜的，颜色都变那样了，要是在店里，你们敢上这样的菜给客人？？？
8875,0,粥有点凉了，饼略硬，味道还可以，速度有点慢
417,1,包装不错，干净卫生，
8904,0,下午五点五十五订餐成功，七点半之后才吃上饭，酸奶连影子都没看到，味道也就那么回事，蒜蓉粉丝娃娃菜油特别大，烧二冬都是淀粉，糊嘴都，以后绝对不定这一家了
8757,0,太慢了，就不要了
3071,1,还好吧。饼的口味差点儿
2202,1,配送很棒！很速度，服务也很好
5219,0,我从11点半订餐，你妈的下午一点四十才送到！！等了俩小时！！再你妈也不定了！！
5607,0,不是很好吃
8137,0,没给绿豆沙
2546,1,点的饺子非常好吃，送餐也很快。
10508,0,说好的发票呢！
8633,0,"太难吃了,已经想不到用什么词,来形容难吃了"
9064,0,真心难吃，米饭又少，吃过最失败的一次快餐
10166,0,"震惊了,京香肉丝只有黄瓜,没有肉,卧槽"
6733,0,速度很快啊
10001,0,味道差点意思，汤还撒了点，不过送餐小哥还是辛苦了
4549,0,送餐花了一个半小时……无语了
8462,0,菜老了，鹌鹑蛋是臭的，重点是：我的烧饼呢？！
4801,0,"就在路对面,送了一个快一个半小时,差评"
9956,0,辣酱面都驼了，重点是餐盒收费还是烂的，所有汁都漏在袋子里，难吃没下次了再见
8563,0,突然就不送了。没信用
9092,0,1个小时40分。全都凉了。
4253,0,没有按时送到啊
4552,0,"送的挺快的,但是我备注的辣椒去哪了？,还有韭菜鸡蛋的鸡蛋又去哪了？而且韭菜鸡蛋的比韭菜肉的还少一个,难道现在鸡蛋卖的比猪肉贵了吗,好奇怪哦"
3908,0,菜的味道还行，不过肉不是新鲜的。隔夜肉！其次米饭是前一天的，有变质味！
1917,1,good！吃的好。骑士好。都很赞！
953,1,满意，不错
5611,0,送餐太慢了…
5730,0,菜很难吃，大盘鸡全是鸡肉，没看到腿或者翅膀，白菜很黄，像腌菜，要了两份米饭，只送了一份，打电话质问，还说两份在一个盒子里，一个盒子两个人怎么吃呢！
6456,0,这家店就直接没送，接单不送的店
3226,1,做得很不错，味道，也很好，要的鸡腿卷饼，要是鸡腿能把鸡皮去掉就更好了。
967,1,分量比较足，但是稍微咸了一点
4871,0,订了两单，还分别送到了两个地方
1566,1,师傅非常好～谢谢
4848,0,送的太早，吃的时候都凉了
7076,0,"配送员差劲,态度恶劣,找不着路,还说脏话,菌菇汤要自己拿开水泡,下次不买了"
5617,0,"送到的时候布丁洒的袋子里到处都是,好脏,原来是只用保鲜膜盖了一下,汤都流出来了,蓝莓山药和布丁都很难吃,基本吃了几口就扔了"
5668,0,饭和汤都是凉的!
6598,0,全是垃圾没法吃不建议订餐
1590,1,很快，不错。
1906,1,麦香！味道棒棒滴！速度很给力！给老板个赞，给快递小哥个赞！
9485,0,等了两个小时，差点饿死
7307,0,"11:23定的餐,1:27打电话告诉我还需要等20分钟,愤怒之下退餐,居然完成了？？？骗了我45块钱,这么垃圾的店,打电话解决,找不到百度,跟他说他说他处理,到现在都没给我退钱,ca,招我我就上你店里要去⋯⋯"
6899,0,"本来订的午饭,最后变晚饭了,什么玩意！"
4421,0,卷饼的菜和图片上差别太大了…半点黄瓜丝也没有，青椒丝就一根，剩下基本是土豆。淡而无味。再也不买了。
5,1,味道还可以，快递服务很到位。
1767,1,"为何没有发票,为何不开发票"
6649,0,煎饼越来越难吃了，鸡丝凉面是第一次点，绝壁是个失误啊！！！
7153,0,要了腊八蒜，没给
9576,0,没有到店好吃，区别好大，
8421,0,来说说口味吧。里面酱汁不多也没啥蔬菜，肉倒是不少。但感觉有点点腻而且干啊。不算很好吃
7031,0,不爱吃甜口的肘子…尖椒巨给力…
3512,1,"送的太快也不是好事=,=！"
2726,1,明明说了不要辣...好辣...
1959,1,"送得特别快,饼味道一般"
2131,1,很快的速度就过来了
1533,1,送货速度很快，一直定这家，赞
9402,0,垃圾的无话可说了，昨天定的，没有送，打电话没人接，第二天打电话也联系不上
2656,1,买了一份拉面都没有餐具呀怎么吃
2543,1,黄太吉一如既往的好吃，还得点近的地方
9615,0,特地备注不要葱姜蒜香菜，有忌口！请问是看不懂我写的什么还是压根不会看备注？还没打开盖子就一大股子香菜味儿！
2645,1,蔬菜稍微有点咸。。。。。
7875,0,"时间一长,没送到就特别不好吃了"
185,1,"很好吃,超值"
6638,0,送过来已经坨成一坨，吃了几口，就扔了；在想怎么会有那么多人推荐，这么难吃
8253,0,非常无奈，饭看着就不好吃，还不给筷子。联系配送员配送员不给送，联系商家商家说让我下楼自己买筷子，真逗，说下次再订的时候打折，只能说没有下次了，奇葩餐厅。一星都不想给
2414,1,味道真不错，送餐师傅辛苦了，这大雾霾天气还很快的送来了美味，谢谢
1694,1,"点了三次了,很好喝,送的也很快"
402,1,百度外卖速度快，态度好。
814,1,太方便了，味道不错
1134,1,"饼比较厚,味道习惯啦"
5123,0,送餐师傅很给力，饭相当难吃
7920,0,"点了海带丝没货,双拼饭超级难吃"
5216,0,良辰告诫众饭友，此家卷饼极其不靠谱，到手拔凉拔凉的，一口咬下去半拉多都是饼！凉了的肘子肉吃起来腻死！最最可恶的是，我九点下单预约十一点四十五送，晚了两个小时！要不是看送餐师傅辛苦，我真想把这破饼扔店家脸上！记住，我叫叶良辰，我叶良辰不是你能惹得起的！请饭友奔走相告。
9997,0,差评，差评，差评！！！！！！！！都没给送餐，把钱退给我行吗？以后再也不定了！！！
5199,0,"太慢了，,总共300米的距离，,11点20订的，1点多才打电话告诉我到了。"
8511,0,送餐太慢，打电话摧态度比我硬
6808,0,超乎预期，牛腩饭居然吃出了骨头，差点把牙硌坏了。
1362,1,非常快，味道好
7516,0,速度快、质量差的很、我要九块原味鸡、四块一样的、你他妈的脑袋有问题吧、告诉我看见就恶心、9⃣️块都是差不多一样的、所以说你们有神经病
1507,1,作为襄阳人，就是这个味！
25,1,弹珠和芋圆小丸子很好吃
1948,1,比起煎饼，红油抄手味道棒棒的，就是18一份，抄手能多一点就好啦
5494,0,真挺难吃的，肉挺多，味道不喜欢
1825,1,还不错！！送餐员很棒
10664,0,汤，粉和菜品应该用正规的餐盒装着，担心漏出来就在外面包上保鲜膜，其他家都这么做的。
640,1,真没传说中的那么好吃，也可能是因为我点的是猪肘卷饼的缘故吧。反正菜太少了，肉太多了，尤其是好多肥肉处理的不太好，吃起来腻死了。如果肥肉部分去腻就好了。
3115,1,味道还不错！就是有时候速度慢些！
10674,0,送的太慢了，太慢了，太慢了，服务真糟糕
5634,0,送餐两个半小时，不能更慢！木耳里有飞虫，无语！
291,1,还行吧，偶尔吃一下还可以
1928,1,红红火火恍恍惚惚哈哈哈哈
7712,0,宇宙级蜗牛送餐速度，共花2.5小时，并且还没到。
6399,0,我点的是酱香排骨面，竟然给我送的是香辣排骨面！把我辣的不行！很失败的一次服务，送餐！
9037,0,两个小时送过来的…电话还一直打不通…
867,1,味道都很好，就是终于饭点送餐慢
9143,0,和店家只有200米距离，定了餐一小时之后才送到。结果凉皮没有料包。和店家沟通之后，到了晚上八点也没有见人送来，打电话说人早就出来了，但是到八点也没影。只能说商家拿客户当猴耍。希望网友看到评论后慎重订餐。
9593,0,等了两个半小时。。。
713,1,京酱肉丝不错，炒合菜粉丝太细，菜太少了
8929,0,送来饭都不太热了，米饭很硬。口味一般般
10660,0,"鸡腿肉卷还可以,肘子和尖椒搭配,个人不太喜欢,感觉像红烧肉"
1285,1,鱼豆腐有异味儿，有点腻。
8408,0,一个煎饼果子加上品牌价格就飙升好几倍
9085,0,我的两颗卤蛋呢！！
4106,0,都凉了，不好吃
6646,0,"没别的味道,都是酱油味"
1358,1,端午节还送粽子。业界良心啊！很棒
10249,0,当时我们点的饭跟汤送达时都已经凉了，其他还好，就是送的时间长。
6897,0,吃了这顿饭，拉了一晚上
6091,0,送了两个多小时才送到…都冷了，这种天都能冷掉
5470,0,送餐速度太慢2个半小时没送到餐
6815,0,我一直喜欢吉吉熊可是昨天的饭里竟然有瓜子壳？我擦！
5305,0,超级难吃，谁订谁知道
8597,0,预计12:17送到，但事实是1点才送到，而且汤汁全洒
2338,1,快递员太给力了！赞一个
103,1,"味道不错！皮有点厚,继续努力"
3963,0,中午十一点定的餐，下午四点才送到……点的西红柿鸡蛋面，面和汤分开装的，送过来面全坨了，汤全撒了，彻底无语
6926,0,"完全送错了啊(,‾᷄꒫‾᷅,)只给我送了一个带肥肉的，我点的是两个，一个鸡肉，一个土豆丝(ㅎ‸ㅎ)"
7735,0,慢就一个字，最好提前两天点餐。当天点的是不要奢望能当天送达的！
7104,0,速度慢，第一次订餐就迟到，晕
6844,0,"炒饭很美味，香辣拉面味道比较一般,面条有些软"
7953,0,要了俩卤蛋，送来才一个
273,1,这饺子皮薄陷大，味道很棒，送过来还热腾腾的，百度骑士风一样速度，感谢店家，感谢骑士！
6396,0,烤肠都没送！
7532,0,今天菜量很少。快递小哥超级赞，给我们送到了屋里呢！
9302,0,"这宫保鸡丁,就鸡丁,黄瓜,花生米,没了-,-,菌菇汤,就是个汤包,还得你自己用水冲,有点儿坑"
6811,0,我点的餐虽然时间慢了些！快递员给打电话了，但是居然还送错了！哎！都不容易！
912,1,"好吃,不错"
357,1,牛肉蔬菜拌饭是辣的。不吃辣哎。这家还是宇宙饼最好吃。
685,1,菜味道很棒！送餐很及时！
4115,0,送错了，没有美式，给了个小拿铁....
8013,0,"差评,不好吃,袋子弄的全是麻酱"
1427,1,特别好吃，超赞
8886,0,"有胡萝卜丁，黄瓜丁，玉米粒。饭里,给的番茄酱稍微少点，蛋饼还好"
10601,0,从点餐到送餐用了两个小时，给一星都多余。这还叫送餐么？？
9580,0,"太咸了，盐不要钱么,,,,,,"
421,1,拉面煎饼真的吃不习惯……还不如改成辣椒酱……反正不如薄脆煎饼味道好。豆浆一致都不错，挺浓郁的。
2956,1,好吃，百度骑士非常棒
9638,0,送餐员服务到位！
7992,0,真的是很慢很慢，120分钟才到呀，已饿晕好么。。。
7081,0,"你们送餐员什么态度,就那个年轻的胖子,草"
6303,0,卷饼都凉了
7949,0,"好难吃啊,都没吃过这样子的京酱肉丝,还送得超慢,差评"
51,1,送餐师傅好棒！特别快就送过来了！吃的也不错
2909,1,送餐很快，味道好，两个菜一盒蛋炒饭足够俩人吃了
7848,0,送餐严重迟到，饮料没有吸管，煎饼已经凉了
4946,0,不仅送餐慢，还特难吃。红油抄手全是酱油汁，土豆饼三根土豆丝味道很差，总之太垃圾啦。以后不会再来。
3162,1,我还以为有多大呢。
6148,0,时间有点慢
60,1,"不错,好吃"
1107,1,卷饼不错好吃，粥一般
9257,0,垃圾！3个小时才送到！期间打电话各种不接，2小时后好不容易打通了，人家告诉我系统故障还没给做呢！系统故障你还点确认订单，我换别家好不好！钱扣了还特么不给做，害你爸爸饿仨小时！
9958,0,"点了肉松套餐,因为备注不吃辣,店家很贴心打电话协商换成黄家煎饼,送了果盒,味道嘛,感觉还是新做出来更好吃,配送有点慢,周末的非饭点还送了一个小时,而且发票忘给了"
33,1,没有卷饼好吃，不过很大份~
6319,0,蛋糕有点儿太甜了，没想像的好吃
7833,0,不好吃，还晚时！
1348,1,送餐有够慢，说是一个小时，结果快两个小时才到，我总觉得是商家一个小时才出餐，送餐时间也长
32,1,好好好！赞赞赞！态度好速度快！
4816,0,"和店家讲了，辣一点,结果没拿辣椒"
6269,0,在于我们朝着目标的重要指示的方向
5206,0,送餐太晚了。。。比预计晚了半个小时！！！
10472,0,以前订过感觉还好，这次订的里面的肉有怪味，不知道是什么肉啊！！！！！
4462,0,太慢了，昨天港丽只用了39分，你们今天用了快两个小时！！！！
9280,0,3次了，就不给餐具的？！
10126,0,"连续两天要的鱼香肉丝,但是今天一半都是青椒...很差劲"
1143,1,态度好，菜味佳
7813,0,"太难吃,点了绿豆沙也没给我。。。坑"
369,1,非常好的服务，跟鞋你们
8988,0,每次送来的筷子都有问题……不是发霉就是有味……
6134,0,和菜量很大。味道也可以。不过锅包肉实在不敢说好。只能说非常一般。完全不是东北菜的感觉
6022,0,每次都没有番茄酱和餐巾纸烦死了
9525,0,买了个王老吉，生产日期是2014年8月份的，僵尸饮料吗？
7140,0,"单点的卤蛋和狮子头没有单放,放在饭里了,这点不满意"
53,1,他家的奶茶超级好喝。。。
2722,1,味道有点甜，总体来说还可以。
7459,0,有点淡，送货速度胎慢了
6083,0,豆腐脑味道感觉很一般
8542,0,不用尝了不好吃
4382,0,预定时12：40好像是，写13：33送达，快3点了我还没见到饭，也没人给我打电话。最后一姑娘敲门说这是你的餐吧，好像送错了送我那去了。我好无语啊！
9026,0,"你们这送餐员可以随便进到别人房间里送餐的吗？打电话说到了,大门没关没等我出去他自己开门进来了,而且还走到我房门前,我开门吓我一跳。这种行为很不礼貌！"
3498,1,很不错的~
7761,0,送的饮料没有，说是下次补送，呵呵，谁知道你送不送
5694,0,快递员辛苦了！就是眉州东坡现在是在提倡环保么？啊！连个筷子也不给！餐巾纸也不给？！难道我今天要是不在家就要拿手抓着吃么！
9378,0,"太油腻了,受不了,呃呃"
2797,1,"很好吃,送餐速度快,下次再来"
2584,1,百度的外送送了小礼品！很高兴！意外惊喜！
9265,0,酸辣粉还好！凉皮一股发霉的味道，没吃，再也不买他家的了！
2226,1,送餐非常快
9475,0,服务态度太差了，找不到地方还骂人，挂我电话。建议换一个靠谱点的小哥
10693,0,送货速度太慢，催了好几次，菜还不错
3106,1,服务态度好，速度快，值得表扬
9943,0,送了三个多小时才送到，拆开之后披萨完全塌掉啦
4493,0,鸡肉很嫩，但米饭不够热
10042,0,好慢。。。而且送过来的时候洒的不成样子。。。
4631,0,橙子有一个直接是干的没任何水份了！香蕉里面黑了一根！
4689,0,"送餐的一个多小时才来,太慢了"
1303,1,土豆泥以前很好吃的，不知为什么这次特别干？！
764,1,用料十足，很好吃！
6128,0,快递12:50才到
6181,0,"冷了,有点硬"
3891,0,老汤捞饭味道有点奇怪，有点咸
3843,0,焦糖玛奇朵忘了放咖啡了吧
3979,0,送餐的时间差了40多分钟，饭来了上面全是菜汤，差评！！！
10469,0,不是59免外送费吗？明明收了9块钱外送费！
5541,0,速度好慢，性价比还可以
1908,1,第二次买了，味道很好!
803,1,喜欢这个味
940,1,很好吃哦~~~
5098,0,米饭再多一点，就更好了。
7053,0,不错送的很快
5124,0,员工素质差，不虚心接受评价，认真改正，还给客户半夜三更打电话骚扰，还记录了认真给他们做出评价的客户，还打电话说一些不侮辱性的语言，还给客户发送黄色图片侮辱客户，太差了。没见过比这个餐厅素质更差的餐厅。有这样的员工迟早会关门大吉。
4078,0,米线都碎了！一股搜了的味道！！！怎么吃？
3150,1,今天的土豆丝卷太酸了，以后不敢再点了
1364,1,南瓜粥一般般，卷饼不错
2698,1,非常好的一次外卖订餐，很及时！泡菜好吃！
6667,0,"米线好多,没有店里好吃,但是还可以啦"
4800,0,"38元餐,和15元餐,量的大小一模一样,告诉我这个是大份的,给店长打了电话,还骂骂咧咧的"
5368,0,一个多小时不说，还打了n个电话才找到，送餐员也太笨了！送过来饭都洒了，流了我一桌子，不给差评都对不起你们，完全没有没食欲了
7258,0,还不错，挺快
3454,1,鱿鱼炒饭比鱿鱼石锅拌饭好吃
9038,0,"汤全撒在袋子里,面都不能吃了"
6405,0,送餐时间提前太多，中午吃饭时已经凉了，以后请按指定时间送
4403,0,"再也不点了,大拌菜都不新鲜了"
10300,0,点错了，还没送到啊
7782,0,可以给带吸管吗？不然星冰乐怎么喝…
2532,1,送菜及时！好吃！百度骑士辛苦！
10,1,好服务，就是习惯百度外卖的快速
4908,0,用不着赶时间把东西都颠散了吧
10169,0,排骨饭就2块排骨
8723,0,"太慢,一个半小时"
5899,0,"我订了广味烤肠,但没有给我送"
9132,0,西红柿炖牛腩千万不要点，一个超大的打包桶，满满一桶西红柿啊，一共就五小块牛肉，这菜要43，我花43买袋牛肉干也比这个菜多好多
3114,1,"肉卷吃的我有点腻,个人口味的问题吧,皮蛋瘦肉粥不错"
6093,0,送餐时间太长快一小时了
200,1,外卖大哥态度很好，
10399,0,经过同意换成蒜苗炒肉了，但是蒜苗炒肉的肉有股馊味。。
3768,0,名气大，味道真心一般。薄脆偏油，煎饼还不错。拉面煎饼是创新，另类了，不符合我的口味。土豆丝肉丝卷，我只能说，简直就是灾难啦！
7380,0,鸡肉荤死了！难吃，太难吃了！
626,1,量有点小，肉也不怎么好吃，主要是酱好
835,1,配送的真快，及时。很好好强大
5264,0,"我要的热豆浆到了都凉了,想让我拉肚子吗？"
234,1,"肉多,不错"
7692,0,米线的送餐盒都裂了...汤全没了....这怎么吃...南瓜粥撒的到处都是...
8877,0,"我很少评论外卖,但是这个我真的要说一说,!,十点多订的我外卖,卖家一分钟就接单了,然后过了一个半小时还多我才收到外卖!!收到的时候粥已经是凉的,锡纸包着饼,锡纸是热的,我还想还好还能吃,可是打开后饼已经凉了,油也凝固了,饼也因为凉了变硬！！！106分钟才送达,送来的还是凉的,卖家要是你你能满意吗！！！"
8602,0,牛肉拌饭超难吃
4995,0,送餐员很给力，这菜真是一般般啊。
5765,0,全凉了，面都硬了。送的慢可以理解，大冷天没用保温箱还是奇葩的锡纸包装，没法放微波炉。
6651,0,送餐时间一个半小时，送到后味道极差，客户混乱完全无法联系到下属商家，总结：一家极其不专业且混乱的煎饼店
175,1,送的特别快，稻香村的点心真的挺不错的
5191,0,"根本没送到。等一个多小时变成送达。,不知道送哪去了。"
8770,0,外卖不错就是运送速度晚了差不多2个小时你敢信？！！
7812,0,土豆泥是酸的，不知道是不是本身就这个味道。
4058,0,太差了，全撒了。蛋糕用咖啡杯装
1466,1,鸡肉不好吃，多弄点肘子，不多说
7747,0,价贵，量少，味道一般，以后不会再来了！
1001,1,稍微有点晚
3324,1,非常不错！！！味道很好，很快
9221,0,一个卷饼不够，如果买的时候可以再添加买几个卷饼就好了。肉和菜很多。
9478,0,饭菜都已经凉了
2133,1,百度骑士夏豪杰特别好，我把地址写错了，他也没有抱怨，态度特别好地帮我送过来，非常赞！
2245,1,"配送很快,就是要了发票但商家没给"
9333,0,太辣了，送餐速度慢了点，等了两小时
4558,0,"2个菜,等了1个半小时,饭菜都是温的,差评"
6507,0,没有在店里的好吃
7881,0,京酱肉丝太甜了…送餐人员态度差，用命令的口吻让我下楼取。
4022,0,一般般，速度慢口味也不是很好。奶油汤清汤寡水的，披萨饼薄脆太硬，凯撒沙拉的面包粒用的是软的，并且与披萨放在一起来了直接成热菜，菜叶焦黄，伴酱无味。看似唯一好吃点的就是那个串了。送餐速度我就不点评论，和其他顾客一样啊，唉……
7687,0,作为老顾客的我想说，绝对变味了。那五花肉泡菜饭两片肉，还没熟，简直恶心死。咬了一口老妈直接吐了其他全扔掉。海鲜豆腐汤也变味儿了。确实有一段时间没叫你家了，变成这样简直囧。
2925,1,"哎，过了12点订送的就很慢了。。。差点把我饿死。。。不过看在送饭的是个妹子的份上还是好评吧-,-。。。"
9789,0,"最差评,点了黑白百叶,却没有黑白叶,而白百叶也只有一片"
3402,1,很好…送餐很快，菜也很好吃
10252,0,豆子特别硬，压根看不见肉
9730,0,送了一个半小时没送到，最终送到了还没带筷子，催外卖门店不给回电话。这种店应该倒闭。
10155,0,巨慢，提前2个小时订也这么慢
10754,0,"量太少,价格够贵,差劲"
498,1,送的太快了，师傅很辛苦，谢谢了。
6919,0,"少份瓜条,多了份饼,秩然鸭架没有送来"
1232,1,面一般，好闲！快递很快
8290,0,挺好的…但是没有在店里好吃…
8016,0,还是那个味！
4533,0,味道不错，等的时间太长了
7703,0,外卖的正一味跟店里的饭菜简直不是同一家的东西
6684,0,粥和菜里都发现了异物，以后不会订这家了
7819,0,1小时20分送到，饿透了已经！还有就是为什么菜单不增加“圆生菜”？
2102,1,准时送达，味道非常鲜美
4668,0,第一次送的时候少了一份，沟通之后很快送过来了，但是订单的金额和打印的小票金额不符合，再给商家打电话也没人接，还是后来送货小哥帮着解决了
5511,0,"米饭三元一份,着量着实..."
9685,0,太慢了呀。。。
4652,0,米饭好像不是新鲜
2402,1,鱼香肉丝真的很不错，顺便提个建议，京酱肉丝能不能改成20
1236,1,送餐很快很好吃
2796,1,服务好，速度快，专业
8305,0,给一星都多，等了三个小时没送到。电话取消了订单，下午2点多送到的我直接拒收了。商家居然还说订单已完成！！！真是无耻！！！！
4687,0,两个小时，醉了
1442,1,味道不错，百度骑士的速度很赞～
3295,1,太快了，送的！
8521,0,"时间太长！还少了个汉堡和薯条,最后小哥去店里又取了一趟才吃到"
8910,0,辣白菜太酸，卷饼辣椒直接卷进去，味道一般，南瓜粥比较适合口味，下次不再点了
3284,1,今天师傅是不是手抖了，微辣格外辣！
792,1,送餐员辛苦，饭也好吃，继续购买
4013,0,送餐很慢啊
6165,0,"以后再也不会定这家了！！！以后再也不会定这家了！！！以后再也不会定这家了！！！（重要的事情要说三遍）,9点半定的，送来1点了，期间商家电话一直占线。"
8181,0,口味不错、速度也够快，就是量少了点。
1982,1,服务好，速度快，赞
4496,0,又一次晚送
2194,1,很好吃，送餐及时！
2706,1,"非常准确,送餐员一百个赞"
5141,0,太慢了，两个小时才送来，都凉了
9904,0,两个小时才送来，卷饼味道还行，粥还不如早点摊的，没有皮蛋没有瘦肉，粥也没味道。冲着卷饼给两星吧。
102,1,排骨面很香，小白菜油偏大味道偏淡，灌肠不太好吃。
9407,0,小鸡炖蘑菇里就看鸡头了，鸡都是硬的，菜也油的要命，不来了
7378,0,"晚了非常久就不说了，这卷饼如果中间不刷酱的话,你菜单上写什么刷酱啊？一点味都没有"
10164,0,最难吃的一家
7844,0,等了2个小时
5499,0,"点的粥不给拿勺,点的包子也不给蘸料"
10446,0,米线没问题、可是送来汤全洒了、写了要带辣椒也没有带
2747,1,好吃，就是能准时送就好了，早点就早点吧
7904,0,味道不怎样，量也小
758,1,快递大哥很负责任，相当棒
9067,0,要的套餐（套餐含饭和饮料），就给送饭了，打电话过去说给补送，现在也没送来，差评！
1376,1,食物干净，包装不错，有点品牌，可以
2865,1,配送超级快。水煮肉满满地，肉片多配菜多。干锅土豆片焦香辣味十足
5876,0,面不够劲道，煮时间偏长？
4436,0,10.40定的，11.50到的，真是服了气了，黄焖鸡吃的像红烧鸡块，不说了，绝对不在这里点了
6692,0,不能用百度外卖
4905,0,香芹牛肉丝就跟凉菜似的，凉拌莴笋丝喂猫呢感觉，也太少了吧
8853,0,和以前的大不一样了，不怎么好吃
8858,0,"味道好一般,饼厚又硬。。"
